date,sound_level.value
11/27/2025 5:07:54.890000000 PM,4
11/27/2025 5:07:55.001000000 PM,3
11/27/2025 5:07:55.116000000 PM,3
11/27/2025 5:07:55.226000000 PM,4
11/27/2025 5:07:55.337000000 PM,3
11/27/2025 5:07:55.452000000 PM,2
11/27/2025 5:07:55.563000000 PM,4
11/27/2025 5:07:55.677000000 PM,3
11/27/2025 5:07:55.788000000 PM,3
11/27/2025 5:07:55.902000000 PM,3
11/27/2025 5:07:56.013000000 PM,5
11/27/2025 5:07:56.127000000 PM,3
11/27/2025 5:07:56.238000000 PM,3
11/27/2025 5:07:56.353000000 PM,3
11/27/2025 5:07:56.463000000 PM,3
11/27/2025 5:07:56.578000000 PM,3
11/27/2025 5:07:56.689000000 PM,3
11/27/2025 5:07:56.799000000 PM,3
11/27/2025 5:07:56.914000000 PM,4
11/27/2025 5:07:57.025000000 PM,3
11/27/2025 5:07:57.140000000 PM,4
11/27/2025 5:07:57.250000000 PM,4
11/27/2025 5:07:57.364000000 PM,3
11/27/2025 5:07:57.475000000 PM,4
11/27/2025 5:07:57.590000000 PM,4
11/27/2025 5:07:57.700000000 PM,3
11/27/2025 5:07:57.815000000 PM,4
11/27/2025 5:07:57.926000000 PM,4
11/27/2025 5:07:58.040000000 PM,3
11/27/2025 5:07:58.151000000 PM,3
11/27/2025 5:07:58.266000000 PM,3
11/27/2025 5:07:58.376000000 PM,4
11/27/2025 5:07:58.487000000 PM,4
11/27/2025 5:07:58.602000000 PM,4
11/27/2025 5:07:58.712000000 PM,3
11/27/2025 5:07:58.827000000 PM,4
11/27/2025 5:07:58.937000000 PM,5
11/27/2025 5:07:59.052000000 PM,4
11/27/2025 5:07:59.163000000 PM,4
11/27/2025 5:07:59.277000000 PM,4
11/27/2025 5:07:59.388000000 PM,3
11/27/2025 5:07:59.503000000 PM,2
11/27/2025 5:07:59.613000000 PM,3
11/27/2025 5:07:59.728000000 PM,3
11/27/2025 5:07:59.839000000 PM,3
11/27/2025 5:07:59.949000000 PM,4
11/27/2025 5:08:00.064000000 PM,3
11/27/2025 5:08:00.174000000 PM,3
11/27/2025 5:08:00.289000000 PM,3
11/27/2025 5:08:00.400000000 PM,3
11/27/2025 5:08:00.514000000 PM,3
11/27/2025 5:08:00.625000000 PM,3
11/27/2025 5:08:00.740000000 PM,2
11/27/2025 5:08:00.852000000 PM,3
11/27/2025 5:08:00.965000000 PM,3
11/27/2025 5:08:01.076000000 PM,3
11/27/2025 5:08:01.190000000 PM,3
11/27/2025 5:08:01.301000000 PM,3
11/27/2025 5:08:01.415000000 PM,3
11/27/2025 5:08:01.526000000 PM,2
11/27/2025 5:08:01.637000000 PM,3
11/27/2025 5:08:01.752000000 PM,3
11/27/2025 5:08:01.864000000 PM,3
11/27/2025 5:08:01.977000000 PM,4
11/27/2025 5:08:02.087000000 PM,3
11/27/2025 5:08:02.202000000 PM,3
11/27/2025 5:08:02.313000000 PM,3
11/27/2025 5:08:02.429000000 PM,3
11/27/2025 5:08:02.538000000 PM,2
11/27/2025 5:08:02.653000000 PM,3
11/27/2025 5:08:02.763000000 PM,3
11/27/2025 5:08:02.878000000 PM,4
11/27/2025 5:08:02.988000000 PM,3
11/27/2025 5:08:03.099000000 PM,3
11/27/2025 5:08:03.214000000 PM,4
11/27/2025 5:08:03.324000000 PM,3
11/27/2025 5:08:03.439000000 PM,3
11/27/2025 5:08:03.550000000 PM,4
11/27/2025 5:08:03.664000000 PM,3
11/27/2025 5:08:03.775000000 PM,3
11/27/2025 5:08:03.889000000 PM,3
11/27/2025 5:08:04.000000000 PM,3
11/27/2025 5:08:04.115000000 PM,2
11/27/2025 5:08:04.225000000 PM,3
11/27/2025 5:08:04.340000000 PM,3
11/27/2025 5:08:04.451000000 PM,3
11/27/2025 5:08:04.565000000 PM,3
11/27/2025 5:08:04.676000000 PM,3
11/27/2025 5:08:04.788000000 PM,4
11/27/2025 5:08:04.901000000 PM,3
11/27/2025 5:08:05.012000000 PM,3
11/27/2025 5:08:05.127000000 PM,4
11/27/2025 5:08:05.237000000 PM,3
11/27/2025 5:08:05.352000000 PM,3
11/27/2025 5:08:05.465000000 PM,3
11/27/2025 5:08:05.577000000 PM,4
11/27/2025 5:08:05.688000000 PM,3
11/27/2025 5:08:05.802000000 PM,3
11/27/2025 5:08:05.913000000 PM,3
11/27/2025 5:08:06.028000000 PM,2
11/27/2025 5:08:06.138000000 PM,3
11/27/2025 5:08:06.249000000 PM,3
11/27/2025 5:08:06.364000000 PM,3
11/27/2025 5:08:06.474000000 PM,3
11/27/2025 5:08:06.589000000 PM,3
11/27/2025 5:08:06.699000000 PM,3
11/27/2025 5:08:06.814000000 PM,2
11/27/2025 5:08:06.925000000 PM,3
11/27/2025 5:08:07.039000000 PM,2
11/27/2025 5:08:07.150000000 PM,2
11/27/2025 5:08:07.265000000 PM,3
11/27/2025 5:08:07.375000000 PM,3
11/27/2025 5:08:07.490000000 PM,2
11/27/2025 5:08:07.601000000 PM,3
11/27/2025 5:08:07.715000000 PM,2
11/27/2025 5:08:07.826000000 PM,3
11/27/2025 5:08:07.936000000 PM,3
11/27/2025 5:08:08.051000000 PM,3
11/27/2025 5:08:08.162000000 PM,3
11/27/2025 5:08:08.276000000 PM,3
11/27/2025 5:08:08.387000000 PM,3
11/27/2025 5:08:08.503000000 PM,3
