date,sound_level.value
11/27/2025 4:49:52.231000000 PM,3
11/27/2025 4:49:52.346000000 PM,3
11/27/2025 4:49:52.457000000 PM,4
11/27/2025 4:49:52.571000000 PM,3
11/27/2025 4:49:52.682000000 PM,3
11/27/2025 4:49:52.796000000 PM,3
11/27/2025 4:49:52.907000000 PM,3
11/27/2025 4:49:53.022000000 PM,5
11/27/2025 4:49:53.132000000 PM,3
11/27/2025 4:49:53.247000000 PM,4
11/27/2025 4:49:53.358000000 PM,3
11/27/2025 4:49:53.468000000 PM,4
11/27/2025 4:49:53.583000000 PM,3
11/27/2025 4:49:53.693000000 PM,3
11/27/2025 4:49:53.809000000 PM,3
11/27/2025 4:49:53.919000000 PM,3
11/27/2025 4:49:54.033000000 PM,3
11/27/2025 4:49:54.144000000 PM,3
11/27/2025 4:49:54.259000000 PM,3
11/27/2025 4:49:54.369000000 PM,3
11/27/2025 4:49:54.484000000 PM,3
11/27/2025 4:49:54.595000000 PM,2
11/27/2025 4:49:54.709000000 PM,3
11/27/2025 4:49:54.820000000 PM,3
11/27/2025 4:49:54.934000000 PM,3
11/27/2025 4:49:55.045000000 PM,5
11/27/2025 4:49:55.156000000 PM,3
11/27/2025 4:49:55.270000000 PM,3
11/27/2025 4:49:55.381000000 PM,3
11/27/2025 4:49:55.496000000 PM,3
11/27/2025 4:49:55.609000000 PM,2
11/27/2025 4:49:55.721000000 PM,3
11/27/2025 4:49:55.831000000 PM,3
11/27/2025 4:49:55.946000000 PM,3
11/27/2025 4:49:56.057000000 PM,3
11/27/2025 4:49:56.171000000 PM,3
11/27/2025 4:49:56.282000000 PM,3
11/27/2025 4:49:56.397000000 PM,3
11/27/2025 4:49:56.507000000 PM,3
11/27/2025 4:49:56.618000000 PM,3
11/27/2025 4:49:56.733000000 PM,3
11/27/2025 4:49:56.843000000 PM,3
11/27/2025 4:49:56.958000000 PM,3
11/27/2025 4:49:57.069000000 PM,4
11/27/2025 4:49:57.183000000 PM,3
11/27/2025 4:49:57.294000000 PM,3
11/27/2025 4:49:57.408000000 PM,3
11/27/2025 4:49:57.519000000 PM,4
11/27/2025 4:49:57.634000000 PM,4
11/27/2025 4:49:57.745000000 PM,3
11/27/2025 4:49:57.859000000 PM,3
11/27/2025 4:49:57.970000000 PM,3
11/27/2025 4:49:58.084000000 PM,3
11/27/2025 4:49:58.195000000 PM,3
11/27/2025 4:49:58.306000000 PM,3
11/27/2025 4:49:58.420000000 PM,3
11/27/2025 4:49:58.531000000 PM,3
11/27/2025 4:49:58.645000000 PM,3
11/27/2025 4:49:58.756000000 PM,3
11/27/2025 4:49:58.871000000 PM,5
11/27/2025 4:49:58.981000000 PM,4
11/27/2025 4:49:59.096000000 PM,4
11/27/2025 4:49:59.207000000 PM,3
11/27/2025 4:49:59.321000000 PM,3
11/27/2025 4:49:59.432000000 PM,5
11/27/2025 4:49:59.547000000 PM,9
11/27/2025 4:49:59.657000000 PM,4
11/27/2025 4:49:59.768000000 PM,3
11/27/2025 4:49:59.882000000 PM,3
11/27/2025 4:49:59.993000000 PM,3
11/27/2025 4:50:00.108000000 PM,4
11/27/2025 4:50:00.218000000 PM,3
11/27/2025 4:50:00.333000000 PM,2
11/27/2025 4:50:00.444000000 PM,3
11/27/2025 4:50:00.558000000 PM,2
11/27/2025 4:50:00.669000000 PM,3
11/27/2025 4:50:00.783000000 PM,2
11/27/2025 4:50:00.894000000 PM,3
11/27/2025 4:50:01.009000000 PM,25
11/27/2025 4:50:01.119000000 PM,2
11/27/2025 4:50:01.234000000 PM,2
11/27/2025 4:50:01.345000000 PM,3
11/27/2025 4:50:01.455000000 PM,3
11/27/2025 4:50:01.570000000 PM,3
11/27/2025 4:50:01.681000000 PM,4
